"","case","run","VB","time","DOC","feed","material","smcAC_median","smcAC_mean","smcAC_stdev","smcDC_median","smcDC_mean","smcDC_stdev","vib_table_median","vib_table_mean","vib_table_stdev","vib_spindle_median","vib_spindle_mean","vib_spindle_stdev","AE_table_median","AE_table_mean","AE_table_stdev","AE_spindle_median","AE_spindle_mean","AE_spindle_stdev"
"1",1,1,0,2,1.5,0.5,1,-0.15625,-0.16425537109375,1.52341993739194,6.8017578125,5.43844943576389,2.24382039074636,1.953125,1.61217936197917,0.777119958029829,0.589599609375,0.550384114583333,0.149272054989417,0.1702880859375,0.169631483289931,0.0546387842146733,0.189208984375,0.188504096137153,0.0564819677978089
"2",1,2,NA,4,1.5,0.5,1,-0.15380859375,-0.166146918402778,1.55786421149942,6.953125,5.56566189236111,2.28972339497338,1.86279296875,1.54323079427083,0.742393657612788,0.58837890625,0.548625895182292,0.152247923490477,0.1739501953125,0.173653021918403,0.0557671470722797,0.1898193359375,0.188342624240451,0.0554978994982132
"3",1,3,NA,6,1.5,0.5,1,-0.157470703125,-0.167511935763889,1.57598153012451,7.03125,5.63637098524306,2.30662915048055,1.7578125,1.46664442274306,0.684949390442729,0.5908203125,0.556704237196181,0.158352277068608,0.1763916015625,0.175477973090278,0.0546857339915955,0.208740234375,0.209611545138889,0.0712646400912622
"4",1,4,0.11,7,1.5,0.5,1,-0.15380859375,-0.162823079427083,1.63069933067191,7.2900390625,5.82778917100694,2.38509362233969,1.6943359375,1.42771104600694,0.661901061482373,0.546875,0.509748399522569,0.119354327080032,0.1910400390625,0.187831692165799,0.0530906957597914,0.216064453125,0.216905788845486,0.0640500127973054
"5",1,5,NA,11,1.5,0.5,1,-0.15869140625,-0.162127278645833,1.8433960948216,8.3154296875,6.55465277777778,2.77271274996322,1.82373046875,1.53480333116319,0.688343605482298,0.518798828125,0.477525906032986,0.105931225929051,0.2032470703125,0.197414076063368,0.0568941406361066,0.2349853515625,0.228438042534722,0.0594126545670529
"6",1,6,0.2,15,1.5,0.5,1,-0.15869140625,-0.157327473958333,2.0076475613615,9.04296875,7.14823187934028,2.9866223811756,1.0888671875,0.930610080295139,0.393951789598603,0.49072265625,0.460113525390625,0.0948524243244863,0.2166748046875,0.207656860351562,0.0597544515316023,0.225830078125,0.218572455512153,0.0561788350299169
"7",1,7,0.24,19,1.5,0.5,1,-0.15869140625,-0.157892523871528,2.05570056769278,9.5947265625,7.49055609809028,3.22407425669472,1.73095703125,1.49471489800347,0.678201364176303,0.416259765625,0.401415201822917,0.059651384065601,0.1959228515625,0.187047458224826,0.0561315069416243,0.3045654296875,0.285886094835069,0.0940036805289512
"8",1,8,0.29,22,1.5,0.5,1,-0.15380859375,-0.177523328993056,2.25703411023369,9.9951171875,7.81853678385417,3.19311660192716,0.97412109375,0.86292724609375,0.356343217337738,0.41748046875,0.406559787326389,0.0804003160433308,0.25146484375,0.236333957248264,0.0731789305634025,0.281982421875,0.269142116970486,0.0758390580134333
"9",1,9,0.28,26,1.5,0.5,1,-0.15380859375,-0.159537217881944,2.34763611876224,9.9951171875,7.85519694010417,3.15321873702385,1.5625,1.34972764756944,0.575686922782947,0.413818359375,0.399489881727431,0.0638181703256731,0.2618408203125,0.246066623263889,0.0765462940269535,0.3515625,0.328968370225694,0.109626881464136
"10",1,10,0.29,29,1.5,0.5,1,-0.146484375,-0.146325954861111,2.51648798539292,9.9951171875,8.06822645399306,3.0090394060441,0.8837890625,0.78770263671875,0.289695200769036,0.384521484375,0.374240451388889,0.0484809517956232,0.2880859375,0.270225016276042,0.0820780020036625,0.3253173828125,0.310605672200521,0.0883431627232679
"11",1,11,0.38,32,1.5,0.5,1,-0.146484375,-0.154833984375,2.46146457520129,9.9951171875,7.99363226996528,3.11606819802768,0.810546875,0.717020399305556,0.271497231072335,0.36376953125,0.356632486979167,0.0431442022865813,0.2813720703125,0.263792656792535,0.0833334267021621,0.4119873046875,0.383425971137153,0.128466483273122
"12",1,12,0.4,35,1.5,0.5,1,-0.1513671875,-0.154187282986111,2.68861697437391,9.9951171875,8.01802680121528,3.20765446128358,1.32568359375,1.14150607638889,0.506030143453549,0.45654296875,0.446132541232639,0.0603810017792178,0.2813720703125,0.263971489800347,0.0948954598799054,0.3692626953125,0.342969563802083,0.115654077945701
"13",1,13,0.43,38,1.5,0.5,1,-0.1611328125,-0.153116861979167,2.69216490629097,9.9951171875,8.11693033854167,3.10453818052492,1.01806640625,0.883341471354167,0.35757357711038,0.3759765625,0.369421115451389,0.0400067093176402,0.2960205078125,0.277160780164931,0.0919677645390286,0.362548828125,0.338744845920139,0.108883357239565
"14",1,14,0.45,41,1.5,0.5,1,-0.15625,-0.147566731770833,2.77774345493868,9.9951171875,8.15506510416667,3.06885383304956,1.142578125,1.01342095269097,0.39658784687135,0.3857421875,0.377190212673611,0.0428113340374928,0.3125,0.291543104383681,0.0974372239857496,0.3985595703125,0.364982774522569,0.123430532121912
"15",1,15,0.5,44,1.5,0.5,1,-0.15625,-0.156340060763889,2.92224997469342,9.9951171875,8.29601128472222,2.96470480910507,0.78857421875,0.699903971354167,0.253759660383785,0.396728515625,0.384923366970486,0.0507222608248682,0.3271484375,0.307630140516493,0.099663209596516,0.41748046875,0.395768636067708,0.129955561549069
"16",1,16,NA,46,1.5,0.5,1,-0.15625,-0.166937934027778,2.82795798856293,9.9951171875,8.21013075086806,2.97882286545976,1.123046875,1.01141899956597,0.407443249737721,0.372314453125,0.364474962022569,0.048721285439865,0.2935791015625,0.275166286892361,0.0889996543765008,0.467529296875,0.440348917643229,0.159842597656298
"17",1,17,0.44,48,1.5,0.5,1,-0.1513671875,-0.147477213541667,2.87382040975876,9.9951171875,8.28,2.89630205588223,1.12060546875,1.01262369791667,0.3997373690329,0.391845703125,0.381145833333333,0.0562101834647209,0.302734375,0.282169325086806,0.0909345159943208,0.44921875,0.419140014648437,0.147460243380864
"18",2,1,0.08,3,0.75,0.5,1,-0.1220703125,3.52800864243299e+25,1.45898152529838e+28,5.283203125,-94463317866101280,4943285954129351680,1.102294921875,1.05840773375336e+26,1.3595826662497e+28,0.5859375,4.64682539943811e+30,5.38457159653208e+32,0.162353515625,-1.15601333493585e+30,3.95479920648088e+32,0.2203369140625,-4.69951615828603e+25,1.64132485685351e+26
"19",2,2,0.14,9,0.75,0.5,1,-0.1611328125,-0.176344401041667,1.07748642736719,4.8828125,4.04411892361111,1.3798573696112,0.8544921875,0.732719455295139,0.347894764286081,0.49560546875,0.459361436631944,0.104340368221588,0.15625,0.142122260199653,0.0649619150322155,0.224609375,0.216492106119792,0.0592642545084369
"20",2,3,0.14,12,0.75,0.5,1,-0.1611328125,-0.179824761284722,1.08721901838059,4.931640625,4.089541015625,1.37743274068037,0.87890625,0.755313313802083,0.343468032644114,0.487060546875,0.459279106987847,0.0927792437464063,0.1556396484375,0.154714016384549,0.0369143573036324,0.220947265625,0.215946180555556,0.0554077064235882
"21",2,4,0.14,15,0.75,0.5,1,-0.15625,-0.171961805555556,1.15875277347602,5.3076171875,4.34274956597222,1.5356932650277,1.19384765625,1.02918348524306,0.469220624719642,0.390625,0.380132514105903,0.0547809255678051,0.147705078125,0.144810791015625,0.0334377156067971,0.2142333984375,0.207469821506076,0.0586894325834749
"22",2,5,0.15,22,0.75,0.5,1,-0.15625,-0.171944986979167,1.24259357890595,5.6884765625,4.62712836371528,1.69231605553441,1.103515625,0.986578233506944,0.444120580589773,0.33203125,0.335600043402778,0.053741618352214,0.0994873046875,0.0853563096788194,0.0660657811990218,0.2130126953125,0.203119303385417,0.0506471049440168
"23",2,6,NA,24,0.75,0.5,1,-0.15625,-0.172162543402778,1.25184515552226,5.7373046875,4.66726671006944,1.69651904902266,1.01318359375,0.916451280381944,0.382847494790897,0.338134765625,0.348620741102431,0.109220362441291,0.16357421875,0.161336805555556,0.0416910539497165,0.19775390625,0.17275146484375,0.0733743101341307
"24",2,7,0.18,27,0.75,0.5,1,-0.15869140625,-0.166740451388889,1.33020186480699,6.1181640625,4.98513400607639,1.80270344283129,0.80810546875,0.719459092881944,0.30426346847229,0.3125,0.322810872395833,0.110908246861723,0.1678466796875,0.161931627061632,0.0362895304884253,0.198974609375,0.192994723849826,0.0402973706571269
"25",2,8,0.22,33,0.75,0.5,1,-0.15380859375,-0.167139485677083,1.43870184529942,6.572265625,5.34731228298611,1.94208837563379,0.94482421875,0.853814561631944,0.370972982135278,0.308837890625,0.329078776041667,0.157933651891028,0.177001953125,0.171061808268229,0.0398649519802835,0.2239990234375,0.216167805989583,0.0506273498147648
"26",2,9,0.26,39,0.75,0.5,1,-0.15625,-0.163523491753472,1.60317926122785,7.3681640625,5.96140950520833,2.2008128438571,0.8935546875,0.819485405815972,0.335127919739434,0.291748046875,0.301995035807292,0.0927968781334162,0.1837158203125,0.177607014973958,0.0417949977213303,0.28076171875,0.269791531032986,0.0775940959446436
"27",2,10,0.31,45,0.75,0.5,1,-0.15869140625,-0.160912000868056,1.70332378151784,7.9296875,6.24464898003472,2.67570941175728,0.8642578125,0.752034505208333,0.370156540153313,0.333251953125,0.335106065538194,0.0418567860505001,0.203857421875,0.192438557942708,0.0563551932390202,0.303955078125,0.282835286458333,0.102055880318236
"28",2,11,0.38,51,0.75,0.5,1,-0.15380859375,-0.161342230902778,1.89071028392598,8.69140625,7.0578271484375,2.61023251261251,0.56640625,0.533648274739583,0.204899518917637,0.333251953125,0.335162896050347,0.0375287250994116,0.21484375,0.206476372612847,0.0543955606408076,0.3424072265625,0.323312310112847,0.105321137366291
"29",2,12,0.43,59,0.75,0.5,1,-0.15625,-0.163008897569444,1.91066785281295,8.62060546875,7.13565321180556,2.59059986422001,0.8154296875,0.783321940104167,0.283193601226271,0.316162109375,0.319903971354167,0.0538249611699815,0.23193359375,0.224434882269965,0.0572485237866866,0.35400390625,0.348143242730035,0.107988036488296
"30",2,13,0.48,66,0.75,0.5,1,-0.15380859375,-0.157615017361111,2.13513103989072,9.599609375,7.93621148003472,2.81178270638247,0.5322265625,0.507416178385417,0.184102242508028,0.281982421875,0.283875325520833,0.0177505809396393,0.2532958984375,0.241975301106771,0.0667576600401999,0.4119873046875,0.391849093967014,0.129791195217586
"31",2,14,0.55,72,0.75,0.5,1,-0.15625,-0.158124457465278,2.14974723476076,9.7412109375,7.71277126736111,3.27452277347424,0.478515625,0.436235622829861,0.194912529462921,0.274658203125,0.276611870659722,0.0153505020063699,0.267333984375,0.249906887478299,0.0842175674549096,0.37353515625,0.350154893663194,0.131148923742345
"32",3,1,0,0,0.75,0.25,1,-0.16357421875,-0.1841259765625,0.864034980882912,3.5791015625,3.38541069878472,0.517692621177087,1.162109375,1.17852403428819,0.598615982133039,0.281982421875,0.283421630859375,0.0125314027737364,0.1318359375,0.135435926649306,0.0207768604158478,0.177001953125,0.186965128580729,0.0468122762998051
"33",3,2,0.13,3,0.75,0.25,1,-0.15869140625,-0.172830403645833,0.856032450523474,3.6767578125,3.28837673611111,0.804610318608598,0.823974609375,0.859315592447917,0.49881077074888,0.2880859375,0.290269775390625,0.0142588410555697,0.1336669921875,0.137251383463542,0.0237493468151386,0.164794921875,0.168524509006076,0.0316355743909758
"34",3,3,0.13,9,0.75,0.25,1,-0.15869140625,-0.177487521701389,0.923999268387922,4.013671875,3.52703016493056,0.951778867311238,0.7568359375,0.751208767361111,0.384993114681516,0.284423828125,0.285599907769097,0.0126170151957609,0.1397705078125,0.141921793619792,0.023858175534534,0.1739501953125,0.175392727322049,0.0320755215458886
"35",3,5,0.17,21,0.75,0.25,1,-0.14404296875,-0.159249131944444,1.00229762500327,4.3017578125,3.87858723958333,0.907726677430706,0.8251953125,0.798416883680556,0.350259115384253,0.323486328125,0.322452663845486,0.0158171578713236,0.15380859375,0.156194864908854,0.0275232666854057,0.19317626953125,0.194905124240451,0.0371068171638251
"36",3,6,0.19,27,0.75,0.25,1,-0.1513671875,-0.162909884982639,1.08459267226054,4.55078125,4.22516981336806,0.818506343207012,1.02783203125,0.995295681423611,0.355913695378804,0.31982421875,0.320018581814236,0.0156279706084006,0.155029296875,0.155890299479167,0.0236103576165709,0.2215576171875,0.221776665581597,0.0465862593868898
